Individual 4-min lightcurve data for single bursts from 4U 1728-34.  The time provided is the mid-point of the 4-minute long time bin, where time=0 is the start of the bursts. S5.5 is the flux density at 5.5GHz in mJy, S5.5_err is the 1-sigma uncertainty in mJy. S9 is the flux density at 9GHz in mJy, S9_err is the 1-sigma uncertainty in mJy, burst gives the burst number.
#min S5.5 S5.5_err  S9 S9_err burst
#burst1
-10.0 0.697 0.054 0.718 0.048 B1
-6.0  0.614 0.054 0.880 0.048 B1
-2.0  0.555 0.054 0.913 0.048 B1
2.0   0.946 0.054 1.143 0.048 B1
6.0   0.812 0.054 1.169 0.048 B1
10.0  0.876 0.054 1.037 0.048 B1
14.0  1.003 0.054 0.906 0.048 B1
18.0  1.016 0.054 0.870 0.048 B1
22.0  1.082 0.054 0.687 0.048 B1
26.0  0.872 0.054 0.798 0.048 B1
30.0  0.682 0.054 0.638 0.048 B1
32.0  0.719 0.054 0.758 0.048 B1
#burst2
-10.0 0.713 0.06 0.914 0.048 B2
-6.0  0.644 0.06 0.865 0.048 B2
-2.0  0.542 0.06 0.859 0.048 B2
2.0   1.121 0.06 1.292 0.048 B2
6.0   1.391 0.06 1.212 0.048 B2
10.0  1.140 0.06 1.006 0.048 B2
14.0  0.765 0.06 0.853 0.054 B2
18.0  0.943 0.06 0.965 0.054 B2
22.0  0.780 0.06 0.747 0.054 B2
26.0  1.119 0.06 0.847 0.054 B2
30.0  0.756 0.06 0.772 0.054 B2
34.0  0.843 0.06 0.973 0.054 B2
38.0  0.960 0.06 0.769 0.054 B2
#burst3
-10.0 0.662 0.114 0.947 0.090 B3
-6.0  0.671 0.120 0.322 0.090 B3
-2.0  0.737 0.126 0.171 0.096 B3
2.0   0.984 0.126 1.142 0.096 B3
6.0   1.028 0.132 0.608 0.102 B3
#burst7
-10.0 0.762 0.084 0.660 0.066 B7
-6.0  0.612 0.084 0.545 0.066 B7
-2.0  0.646 0.078 0.760 0.066 B7
2.0   1.088 0.078 1.145 0.060 B7
6.0   0.666 0.078 0.228 0.060 B7
10.0  0.835 0.078 0.979 0.060 B7
14.0  1.137 0.078 0.840 0.060 B7
18.0  0.686 0.078 0.514 0.060 B7
22.0  0.766 0.072 0.788 0.060 B7
26.0  0.837 0.072 0.801 0.060 B7
30.0  0.592 0.072 0.771 0.054 B7
34.0  0.649 0.072 0.615 0.054 B7
38.0  0.533 0.072 0.600 0.054 B7
#burst8
-10.0 0.772 0.048 0.801 0.042 B8
-6.0  0.820 0.048 0.840 0.042 B8
-2.0  0.826 0.048 1.043 0.042 B8
2.0   0.959 0.048 1.625 0.042 B8
6.0   1.177 0.048 1.021 0.042 B8
10.0  0.843 0.048 0.877 0.042 B8
14.0  0.893 0.048 0.868 0.042 B8
18.0  0.956 0.048 0.661 0.042 B8
22.0  0.909 0.048 0.753 0.042 B8
26.0  0.900 0.048 0.979 0.042 B8
30.0  0.715 0.048 0.810 0.042 B8
34.0  0.773 0.048 0.910 0.042 B8
38.0  0.835 0.054 0.927 0.042 B8
#burst9
-10.0 0.811 0.054 0.900 0.054 B9
-6.0  0.776 0.054 0.893 0.054 B9
-2.0  0.832 0.054 0.832 0.054 B9
2.0   0.990 0.054 0.990 0.054 B9
6.0   1.004 0.054 1.054 0.054 B9
10.0  0.912 0.054 0.912 0.054 B9
14.0  0.960 0.054 0.960 0.054 B9
18.0  0.849 0.054 0.849 0.054 B9
22.0  0.965 0.054 0.965 0.054 B9
26.0  0.818 0.054 0.818 0.054 B9
30.0  0.833 0.054 0.833 0.054 B9
34.0  0.865 0.054 0.865 0.054 B9
38.0  0.836 0.054 0.836 0.054 B9
42.0  0.863 0.054 0.863 0.054 B9
#burst10
-10.0 0.828 0.054 1.015 0.048 B10
-6.0  0.935 0.054 1.024 0.048 B10
-2.0  0.920 0.054 0.789 0.048 B10
2.0   1.637 0.054 1.997 0.048 B10
6.0   1.250 0.054 1.384 0.048 B10
10.0  1.074 0.054 1.035 0.048 B10
14.0  1.065 0.054 0.962 0.048 B10
18.0  0.845 0.054 1.096 0.048 B10
22.0  0.958 0.054 0.821 0.048 B10
26.0  0.755 0.054 1.083 0.048 B10
30.0  0.692 0.054 1.116 0.048 B10
34.0  0.873 0.054 0.761 0.048 B10
38.0  0.765 0.054 1.023 0.048 B10
#burst11
-10.0 0.825 0.102 0.839 0.078 B11
-6.0  0.887 0.102 0.836 0.078 B11
-2.0  0.750 0.108 0.844 0.084 B11
2.0   0.867 0.114 0.967 0.084 B11
6.0   1.089 0.114 1.097 0.084 B11
10.0  1.442 0.114 1.092 0.090 B11
14.0  1.213 0.120 0.935 0.090 B11
18.0  1.126 0.126 0.842 0.096 B11
#burst13
-10.0 0.855 0.096 0.792 0.078 B13 
-6.0  0.781 0.096 0.858 0.078 B13
-2.0  0.896 0.096 1.049 0.078 B13
2.0   1.246 0.096 1.386 0.078 B13
6.0   0.956 0.096 1.084 0.078 B13
10.0  0.967 0.090 1.066 0.072 B13
14.0  0.955 0.090 0.764 0.072 B13
18.0  0.793 0.090 0.810 0.072 B13
22.0  0.834 0.090 0.857 0.072 B13
