#Averaged 1-minute light curves of 4U 1728-34, showing the radio flux density averaged over all bursts. The time provided is the mid-point of the 1-minute long time bin, where time=0 is the start of the bursts. S5.5 is the flux density at 5.5GHz in mJy, S5.5_err is the 1-sigma uncertainty in mJy. S9 is the flux density at 9GHz in mJy, S9_err is the 1-sigma uncertainty in mJy.
#minutes S5.5 S5.5_err S9 S9_err
-7.5 0.789 0.078 0.756 0.065 
-6.5 0.710 0.069 0.801 0.060 
-5.5 0.800 0.072 0.777 0.061 
-4.5 0.711 0.066 0.788 0.061 
-3.5 0.716 0.070 0.85 0.058 
-2.5 0.764 0.069 0.777 0.059 
-1.5 0.735 0.074 0.717 0.071 
-0.5 0.751 0.078 0.793 0.072 
0.5 0.880 0.074 1.176 0.073 
1.5 1.006 0.068 1.318 0.066 
2.5 1.013 0.079 1.331 0.075 
3.5 1.157 0.070 1.165 0.062 
4.5 1.053 0.064 0.973 0.058 
5.5 0.957 0.068 1.011 0.074 
6.5 0.899 0.081 0.931 0.078 
7.5 1.024 0.076 0.978 0.069 
8.5 0.910 0.066 0.912 0.059 
9.5 0.931 0.066 0.932 0.063 
10.5 0.810 0.066 0.887 0.069 
11.5 0.925 0.071 0.841 0.060 
12.5 0.866 0.066 0.793 0.061 
13.5 0.852 0.070 0.829 0.062 
14.5 0.783 0.073 0.804 0.060 
15.5 0.807 0.066 0.760 0.062 
16.5 0.823 0.069 0.751 0.063 
17.5 0.843 0.062 0.854 0.065 
18.5 0.931 0.069 0.908 0.065 
19.5 0.766 0.069 0.671 0.062 
20.5 0.901 0.077 0.740 0.067 
21.5 0.837 0.077 0.757 0.077 
22.5 0.795 0.078 0.688 0.066 
23.5 0.783 0.079 0.847 0.073 
24.5 0.821 0.075 0.755 0.080 
25.5 0.713 0.071 0.895 0.067 
26.5 0.804 0.066 0.889 0.061 
27.5 0.891 0.077 0.832 0.066 
28.5 0.839 0.079 0.950 0.075 
29.5 0.766 0.073 0.896 0.064 
30.5 0.723 0.067 0.811 0.063 
31.5 0.753 0.069 0.777 0.064 
32.5 0.712 0.069 0.753 0.062 

